Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,VOLUME ,turnover
21-Apr-23,"2,350.65","2,361.00","2,336.40","2,346.05","2,349.00","35,29,236",82891.02462
20-Apr-23,"2,354.10","2,359.00","2,332.10","2,352.00","2,346.05","32,33,882",75757.82938
19-Apr-23,"2,339.05","2,357.90","2,332.20","2,340.35","2,352.00","56,64,207",132980.3913
18-Apr-23,"2,377.00","2,377.00","2,326.00","2,367.45","2,340.35","48,02,172",112444.5827
17-Apr-23,"2,424.95","2,424.95","2,349.05","2,355.50","2,367.45","82,74,452",196234.9325
13-Apr-23,"2,353.00","2,365.80","2,342.00","2,346.65","2,355.50","57,12,541",134475.6495
12-Apr-23,"2,336.35","2,367.80","2,330.05","2,336.35","2,346.65","83,89,646",196952.6239
11-Apr-23,"2,334.00","2,341.00","2,324.05","2,324.85","2,336.35","48,65,301",113512.5513
10-Apr-23,"2,350.00","2,350.40","2,321.55","2,341.45","2,324.85","59,81,688",139809.6937
06-Apr-23,"2,318.15","2,354.00","2,318.15","2,325.85","2,341.45","85,07,771",199174.2962
05-Apr-23,"2,348.00","2,348.00","2,308.55","2,331.45","2,325.85","75,05,339",174547.3644
03-Apr-23,"2,345.00","2,349.00","2,315.00","2,331.05","2,331.45","47,50,238",110578.7956
31-Mar-23,"2,255.00","2,343.45","2,254.70","2,234.70","2,331.05","1,30,01,005",301073.1407
29-Mar-23,"2,239.00","2,244.80","2,211.10","2,248.00","2,234.70","86,78,073",193402.9322
28-Mar-23,"2,245.00","2,256.50","2,237.00","2,237.55","2,248.00","58,04,018",130393.7359
27-Mar-23,"2,217.50","2,254.00","2,200.20","2,203.30","2,237.55","64,86,068",145116.4374
24-Mar-23,"2,245.25","2,250.00","2,198.00","2,247.80","2,203.30","57,11,497",126899.7556
23-Mar-23,"2,268.00","2,269.90","2,243.05","2,276.60","2,247.80","74,99,082",169005.5205
22-Mar-23,"2,285.00","2,291.45","2,270.00","2,269.70","2,276.60","50,39,622",114964.9166
21-Mar-23,"2,218.95","2,274.00","2,217.00","2,201.25","2,269.70","98,76,263",222855.7215
20-Mar-23,"2,215.00","2,220.00","2,180.00","2,223.10","2,201.25","90,10,595",197700.2775
17-Mar-23,"2,244.75","2,251.95","2,212.70","2,225.90","2,223.10","1,56,97,554",349435.9705
16-Mar-23,"2,243.00","2,254.00","2,202.20","2,237.05","2,225.90","84,74,595",188947.5846
15-Mar-23,"2,284.10","2,298.30","2,227.40","2,275.95","2,237.05","1,00,27,725",226959.2522
14-Mar-23,"2,280.00","2,304.95","2,269.05","2,284.50","2,275.95","73,96,699",169049.0424
13-Mar-23,"2,329.00","2,344.00","2,275.00","2,322.70","2,284.50","58,94,088",136019.043
10-Mar-23,"2,341.50","2,344.00","2,315.05","2,359.25","2,322.70","61,53,681",143015.4067
09-Mar-23,"2,416.00","2,416.90","2,355.10","2,417.35","2,359.25","74,92,509",178103.2872
08-Mar-23,"2,408.70","2,419.00","2,385.00","2,408.70","2,417.35","72,83,694",175324.2528
06-Mar-23,"2,400.00","2,424.60","2,400.00","2,385.40","2,408.70","46,94,338",113240.3404
03-Mar-23,"2,349.15","2,393.45","2,341.55","2,326.05","2,385.40","67,58,115",159942.0048
02-Mar-23,"2,337.00","2,351.65","2,321.60","2,343.90","2,326.05","43,07,425",100517.3205
01-Mar-23,"2,344.00","2,345.50","2,323.25","2,322.55","2,343.90","53,30,852",124562.8441
28-Feb-23,"2,356.10","2,367.00","2,313.65","2,367.85","2,322.55","1,01,50,245",236904.3666
27-Feb-23,"2,382.00","2,389.65","2,351.70","2,383.70","2,367.85","51,68,667",122300.9343
24-Feb-23,"2,372.00","2,396.15","2,368.00","2,367.50","2,383.70","43,53,814",103687.9654
23-Feb-23,"2,378.00","2,394.75","2,361.35","2,378.90","2,367.50","45,46,655",108078.3396
22-Feb-23,"2,425.95","2,430.00","2,375.05","2,434.10","2,378.90","50,87,729",121888.8824
21-Feb-23,"2,424.00","2,446.80","2,412.35","2,414.40","2,434.10","61,43,298",149164.5865
20-Feb-23,"2,445.00","2,449.75","2,410.10","2,440.20","2,414.40","40,78,245",99084.16474
17-Feb-23,"2,420.00","2,447.50","2,410.60","2,430.05","2,440.20","54,50,092",132609.8098
16-Feb-23,"2,449.45","2,463.80","2,425.05","2,431.95","2,430.05","79,67,558",194833.1496
15-Feb-23,"2,376.00","2,437.20","2,373.00","2,378.10","2,431.95","1,54,61,902",373799.2126
14-Feb-23,"2,329.95","2,381.90","2,323.65","2,323.35","2,378.10","66,09,564",156354.2023
13-Feb-23,"2,340.20","2,350.00","2,313.55","2,336.65","2,323.35","47,77,674",111008.8122
10-Feb-23,"2,354.90","2,354.90","2,321.30","2,356.05","2,336.65","49,79,789",116117.2421
09-Feb-23,"2,353.45","2,370.85","2,334.00","2,351.95","2,356.05","60,79,228",143160.0571
08-Feb-23,"2,313.00","2,359.90","2,307.00","2,305.90","2,351.95","97,65,490",228998.2266
07-Feb-23,"2,312.00","2,327.40","2,293.00","2,311.45","2,305.90","69,85,001",161512.2552
06-Feb-23,"2,315.00","2,321.00","2,305.80","2,329.00","2,311.45","68,47,679",158313.185
03-Feb-23,"2,349.00","2,349.00","2,293.00","2,326.95","2,329.00","1,13,98,850",264325.1009
02-Feb-23,"2,318.00","2,348.00","2,311.00","2,339.90","2,326.95","63,05,317",146593.2146
01-Feb-23,"2,379.95","2,379.95","2,305.00","2,353.85","2,339.90","89,29,007",209952.297
31-Jan-23,"2,382.00","2,387.65","2,341.00","2,359.75","2,353.85","1,04,72,167",246563.8434
30-Jan-23,"2,331.70","2,371.90","2,301.00","2,337.35","2,359.75","1,00,47,822",235210.0814
27-Jan-23,"2,384.40","2,387.35","2,311.65","2,382.55","2,337.35","1,19,20,991",278669.3705
25-Jan-23,"2,412.45","2,414.70","2,380.00","2,415.95","2,382.55","57,15,684",136747.3413
24-Jan-23,"2,440.00","2,443.65","2,387.35","2,430.30","2,415.95","76,09,558",183716.4466
23-Jan-23,"2,449.00","2,466.20","2,425.00","2,442.65","2,430.30","50,55,324",123367.1013
20-Jan-23,"2,475.00","2,475.00","2,437.25","2,472.05","2,442.65","68,90,325",168976.2906
19-Jan-23,"2,472.90","2,481.15","2,456.65","2,474.70","2,472.05","55,10,333",136238.9894
18-Jan-23,"2,473.50","2,491.10","2,460.35","2,478.80","2,474.70","62,06,382",153722.3675
17-Jan-23,"2,458.00","2,483.00","2,450.60","2,444.10","2,478.80","49,61,585",122396.5026
16-Jan-23,"2,472.70","2,479.65","2,427.00","2,467.60","2,444.10","62,87,407",153733.2564
13-Jan-23,"2,458.40","2,472.90","2,434.60","2,471.60","2,467.60","95,15,473",233582.9257
12-Jan-23,"2,524.85","2,532.50","2,465.00","2,526.15","2,471.60","81,63,366",203062.7248
11-Jan-23,"2,552.50","2,558.00","2,521.10","2,558.40","2,526.15","53,11,657",134591.6495
10-Jan-23,"2,606.00","2,606.00","2,546.00","2,596.80","2,558.40","37,13,755",95399.91869
09-Jan-23,"2,545.30","2,602.00","2,543.35","2,536.90","2,596.80","49,48,549",127796.2842
06-Jan-23,"2,526.65","2,547.95","2,518.30","2,514.05","2,536.90","29,30,338",74281.25091
05-Jan-23,"2,523.50","2,536.40","2,504.00","2,518.55","2,514.05","62,93,519",158376.3974
04-Jan-23,"2,557.00","2,561.05","2,514.00","2,557.05","2,518.55","42,75,746",108163.995
03-Jan-23,"2,565.05","2,573.00","2,547.80","2,575.90","2,557.05","35,34,596",90431.99291
02-Jan-23,"2,550.00","2,579.00","2,548.20","2,547.20","2,575.90","24,53,414",62922.10762
30-Dec-22,"2,545.10","2,577.00","2,541.10","2,543.30","2,547.20","33,64,092",86111.63858
29-Dec-22,"2,527.00","2,548.90","2,525.50","2,544.45","2,543.30","31,98,493",81141.4468
28-Dec-22,"2,538.00","2,549.80","2,521.50","2,544.70","2,544.45","34,42,509",87359.79366
27-Dec-22,"2,530.00","2,548.80","2,515.25","2,524.05","2,544.70","26,59,749",67414.5265
26-Dec-22,"2,514.75","2,542.00","2,492.40","2,502.20","2,524.05","27,64,496",69770.59265
23-Dec-22,"2,563.30","2,590.50","2,492.25","2,577.80","2,502.20","47,33,657",120235.8811
22-Dec-22,"2,598.00","2,604.65","2,566.75","2,584.50","2,577.80","34,38,692",88805.81066
21-Dec-22,"2,621.00","2,633.00","2,576.10","2,621.80","2,584.50","39,35,463",102368.8938
20-Dec-22,"2,583.90","2,626.00","2,566.00","2,599.30","2,621.80","34,46,291",89424.20887
19-Dec-22,"2,581.00","2,604.00","2,566.70","2,565.60","2,599.30","35,67,363",92143.1952
16-Dec-22,"2,571.00","2,618.80","2,558.15","2,578.35","2,565.60","73,08,934",188823.6768
15-Dec-22,"2,602.50","2,615.00","2,571.00","2,615.50","2,578.35","40,09,765",103882.6166
14-Dec-22,"2,637.65","2,638.95","2,611.00","2,625.00","2,615.50","33,54,618",87919.39262
13-Dec-22,"2,613.10","2,633.00","2,606.70","2,613.10","2,625.00","38,45,839",100839.4025
12-Dec-22,"2,585.50","2,623.00","2,585.00","2,609.10","2,613.10","43,74,946",114065.089
09-Dec-22,"2,646.00","2,660.00","2,601.85","2,649.25","2,609.10","58,40,633",153464.8853
08-Dec-22,"2,660.00","2,665.00","2,640.10","2,650.50","2,649.25","35,79,858",94929.88489
07-Dec-22,"2,685.00","2,695.00","2,642.15","2,690.20","2,650.50","39,05,263",104087.3925
06-Dec-22,"2,665.10","2,697.00","2,661.00","2,682.45","2,690.20","39,66,243",106519.9975
05-Dec-22,"2,712.00","2,716.75","2,678.00","2,722.15","2,682.45","68,43,367",184396.6816
02-Dec-22,"2,730.00","2,748.00","2,700.60","2,723.30","2,722.15","53,48,595",145750.1723
01-Dec-22,"2,741.80","2,755.00","2,716.00","2,731.35","2,723.30","43,77,696",119902.0964
30-Nov-22,"2,712.50","2,745.45","2,698.20","2,712.20","2,731.35","1,20,75,137",329299.8887
29-Nov-22,"2,703.95","2,731.65","2,694.00","2,707.55","2,712.20","51,03,687",138471.3636
28-Nov-22,"2,608.90","2,721.05","2,502.00","2,617.60","2,707.55","1,45,49,929",390819.5319
25-Nov-22,"2,589.00","2,624.90","2,582.10","2,579.10","2,617.60","33,91,988",88373.31953
24-Nov-22,"2,566.00","2,594.00","2,548.20","2,557.05","2,579.10","43,33,225",111108.4257
23-Nov-22,"2,575.00","2,577.90","2,552.25","2,565.05","2,557.05","29,59,787",75806.60699
22-Nov-22,"2,545.00","2,568.50","2,536.50","2,550.90","2,565.05","30,51,201",78017.36581
21-Nov-22,"2,588.00","2,588.00","2,543.10","2,597.65","2,550.90","29,49,108",75387.48417
18-Nov-22,"2,606.75","2,609.00","2,571.10","2,599.05","2,597.65","24,47,425",63371.49846
17-Nov-22,"2,584.95","2,613.00","2,580.00","2,592.35","2,599.05","30,74,259",79917.93078
16-Nov-22,"2,610.00","2,615.95","2,581.35","2,607.30","2,592.35","44,84,007",116668.073
15-Nov-22,"2,622.30","2,626.40","2,590.00","2,619.05","2,607.30","32,70,388",85141.00481
